RegionName,SizeRank,2018-01,2018-02,2018-03,2018-04,2018-05,2018-06,2018-07,2018-08,2018-09,2018-10,2018-11,2018-12
California,1,1.867413632,1.884615385,1.900108578,1.923503326,1.947852761,1.956391876,1.951951952,1.938923897,1.921578545,1.911764706,1.92457247,1.934443847
Texas,2,0.905624404,0.913443202,0.923770597,0.93442623,0.938797366,0.94,0.937320274,0.932044888,0.927643785,0.925253733,0.928143713,0.931802199
New York,3,4.268258427,4.2,3.916666667,4.19,4.307841239,4.042553191,3.897434521,3.474232774,3.246753247,3.100387597,3.142466823,3.521126761
Florida,4,1.318064572,1.324277845,1.33037694,1.342975207,1.34202454,1.333333333,1.335311573,1.349380015,1.353674846,1.348920863,1.354203789,1.358490566
Illinois,5,1.217391304,1.228878648,1.259427006,1.290189248,1.292556278,1.299666589,1.284089539,1.275958533,1.268115942,1.265335378,1.256820995,1.253658537
Pennsylvania,6,1.025641026,1.035106383,1.056810676,1.081730769,1.089038069,1.080455902,1.057449495,1.051269116,1.041666667,1.034161559,1.038062284,1.041666667
Ohio,7,0.830889541,0.833333333,0.85182534,0.87535014,0.875796178,0.882352941,0.87375,0.865051903,0.864485981,0.863161969,0.857142857,0.857279693
Michigan,8,0.934065934,0.939813657,0.979192166,0.992685475,1,1,0.996376812,0.99009901,0.990499459,0.991189427,0.981774252,0.982532751
Georgia,9,0.772066939,0.77606525,0.784937796,0.79787234,0.801282051,0.804289544,0.806451613,0.798453258,0.796178344,0.801282051,0.805322129,0.81300813
North Carolina,10,0.784852682,0.786971189,0.809652684,0.822826642,0.824175824,0.823170732,0.827205882,0.825889163,0.823045267,0.825688073,0.831422018,0.83041958
New Jersey,11,1.417125416,1.43207856,1.459509096,1.473072111,1.488095238,1.49781575,1.482587863,1.449275362,1.426351771,1.417525773,1.423769089,1.431718062
Virginia,12,1.059322034,1.062863551,1.071428571,1.089443394,1.1,1.104071273,1.121174266,1.11143695,1.101190476,1.083096591,1.091008772,1.098484848
Washington,13,1.316455696,1.303059553,1.319148936,1.343627454,1.372788286,1.367702357,1.366320236,1.345384615,1.336141696,1.320754717,1.307922272,1.307575524
Massachusetts,14,2.43715952,2.524797115,2.622352941,2.694610778,2.735042735,2.713178295,2.625820569,2.5,2.363636364,2.255728701,2.277327935,2.325581395
Indiana,15,0.778816199,0.778524197,0.793884035,0.806451613,0.809167601,0.807990143,0.807421603,0.803977273,0.812329574,0.810330042,0.808423913,0.807399653
Arizona,16,0.90043024,0.915708812,0.936683787,0.95735786,0.962825459,0.960118168,0.963302752,0.955206738,0.952380952,0.955882353,0.963541667,0.968614719
Tennessee,17,0.835509138,0.837320574,0.84077381,0.865610329,0.868055556,0.871710526,0.873015873,0.865687303,0.859890899,0.856751199,0.859318996,0.861455637
Missouri,18,0.841346154,0.846817691,0.848868864,0.868372943,0.866807611,0.877192982,0.875273523,0.880031153,0.887386475,0.885714286,0.878180039,0.869565217
Maryland,19,1.299907149,1.299910172,1.318359375,1.329561339,1.332622601,1.333333333,1.325757576,1.315789474,1.312785388,1.306970509,1.30952381,1.31040131
Wisconsin,20,0.98125,0.972222222,0.99,1,1.003333333,0.977517107,0.962901376,0.964348334,0.959662318,1,0.986606876,0.995
Minnesota,21,1.215010684,1.206140351,1.206248331,1.217166979,1.221356304,1.22440706,1.229306704,1.233163265,1.225281602,1.23978499,1.238738739,1.248142645
Colorado,22,1.42921147,1.465461738,1.470588235,1.468315301,1.465992647,1.455007145,1.447368421,1.442307692,1.428571429,1.423009119,1.440677966,1.444444444
Alabama,23,0.704479769,0.708215297,0.718629077,0.727650728,0.724637681,0.729233015,0.728341438,0.724637681,0.725216234,0.725288832,0.733333333,0.732253086
South Carolina,24,0.91276368,0.92478834,0.932017544,0.947782546,0.959079284,0.952148438,0.954356846,0.939306358,0.936037441,0.937613143,0.942753417,0.94834172
Louisiana,25,0.9006004,0.9,0.921052632,0.92879257,0.93537415,0.931570597,0.931715312,0.918404834,0.911507917,0.904605263,0.900148478,0.895140665
Kentucky,26,0.835277084,0.858179738,0.870827286,0.888888889,0.899742931,0.888888889,0.883038987,0.873170732,0.864553314,0.87406015,0.863214286,0.862745098
Oregon,27,1.195917724,1.208883856,1.210714286,1.231481481,1.233333333,1.23094959,1.236517592,1.233697973,1.223493006,1.212343865,1.200457317,1.197916667
Oklahoma,28,0.770042194,0.779339853,0.786073223,0.799768842,0.8,0.796930342,0.796089172,0.790307677,0.789650538,0.782937589,0.784776903,0.785180581
Connecticut,29,1.321138211,1.344656759,1.368925394,1.421052632,1.415972414,1.405810684,1.384083045,1.363636364,1.354166667,1.349536633,1.34194831,1.345486111
Iowa,30,0.966462072,0.982142857,0.994897959,0.995820231,0.995833333,0.999706055,0.990752972,0.979270833,0.975920328,0.96875,0.968992248,0.972466315
Mississippi,31,0.744514107,0.744779904,0.75862069,0.778710535,0.778732546,0.775314021,0.77794664,0.76754386,0.766504209,0.77463029,0.763683651,0.766138538
Arkansas,32,0.73753882,0.743924636,0.751713501,0.763651877,0.770872611,0.767441473,0.764705882,0.752046044,0.749855825,0.749229172,0.748327759,0.744047619
Kansas,33,0.859375,0.865800866,0.875,0.881612091,0.893103448,0.881953867,0.883276088,0.877106742,0.857843137,0.850465926,0.856164384,0.868983957
Utah,34,0.983971187,0.99897541,1.029424751,1.03028065,1.038259617,1.054526749,1.058671661,1.056000346,1.045536303,1.035369127,1.041223649,1.038961039
Nevada,35,0.879204893,0.889538104,0.901875902,0.918367347,0.932130107,0.932188551,0.9375,0.945945946,0.947745902,0.942460317,0.95122892,0.951557093
New Mexico,36,0.850288762,0.857142857,0.850970511,0.862218371,0.868117076,0.876359248,0.87445333,0.871348027,0.85999312,0.860194805,0.869565217,0.876623377
West Virginia,37,0.75371051,0.763452674,0.785714286,0.7855273,0.771517053,0.777777778,0.76142132,0.763422761,0.769230769,0.764705882,0.786163522,0.798746583
Nebraska,38,1.001813291,1.012035011,1.007264008,1.019273713,1.031073446,1.025345365,1.031073446,1.007005254,1.012518409,0.998383165,0.993883792,1.026386404
Idaho,39,0.84200012,0.851128737,0.869632983,0.891632373,0.920427553,0.944444444,0.956730769,0.943791946,0.939826952,0.937031484,0.922953451,0.911779202
Hawaii,40,2.437223043,2.462094968,2.431144068,2.447113739,2.479479204,2.464065708,2.419354839,2.44173141,2.429667519,2.373390458,2.364526175,2.413273002
Maine,41,1.302083333,1.264880952,1.360338573,1.409901004,1.392572944,1.395,1.331360947,1.320638821,1.298543112,1.308615049,1.325478645,1.344364012
New Hampshire,42,1.251896813,1.286523466,1.282917533,1.302593954,1.277777778,1.314405889,1.309394381,1.318036596,1.308411215,1.298701299,1.29684868,1.292385057
Rhode Island,43,1.484375,1.526162791,1.56424581,1.617647059,1.6,1.59638631,1.510248112,1.5,1.488095238,1.475037821,1.490384615,1.491477273
Montana,44,0.975690187,0.993967989,1,1.005673027,1.061800595,1.070804196,1.076252387,1.086956522,1.063125,1.047066362,1.041014266,1.021210371
Delaware,45,0.906666667,0.906976744,0.906976744,0.913533236,0.90465368,0.902737333,0.9,0.903159295,0.914285714,0.92037911,0.941176471,0.941176471
South Dakota,46,0.868421053,0.888888889,0.903541999,0.905797101,0.932664681,0.926829268,0.933559706,0.93537415,0.944444444,0.910823171,0.922779923,0.930131004
Alaska,47,1.178133836,1.197506562,1.195586124,1.204685625,1.203369434,1.222222222,1.197050794,1.2,1.193548387,1.180412929,1.175336195,1.195652174
North Dakota,48,0.880514819,0.905510965,0.918033182,0.988372093,0.925925926,0.916666667,0.923361034,0.941666667,0.941666667,0.9375,0.886648122,0.878820284
Vermont,49,1.461887665,1.565217391,1.5,1.5,1.427624017,1.360681115,1.311953353,1.38,1.524478288,1.5,1.362373737,1.32
District of Columbia,50,2.961407044,2.959001783,2.970679012,3.052442675,3.096007539,3.125,3.077500578,3.019662921,2.97029703,2.932843652,2.945570055,2.978564195
Wyoming,51,0.912378466,0.928641251,0.936951799,0.930851064,0.946457821,0.94759134,0.964285714,0.950527645,0.963529354,0.973871808,0.996196374,0.992713421
